"PVWatts Hourly PV Performance Data"
"Requested Location","yinchuan"
"Solar Resource Data Location","NSRDB Lat/Lng: 38.45, 106.26"
"Latitude (degrees)", 38.45
"Longitude (degrees)", 106.26
"Elevation (m)","1114"
"DC System Size (kW)","1"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-13","3","0.2","0","-13","0","0"
"1","1","1","0","0","-13.1","3","0.2","0","-13.1","0","0"
"1","1","2","0","0","-13.3","3.1","0.2","0","-13.3","0","0"
"1","1","3","0","0","-13.4","3.1","0.2","0","-13.4","0","0"
"1","1","4","0","0","-13.7","3","0.2","0","-13.7","0","0"
"1","1","5","0","0","-14","2.8","0.2","0","-14","0","0"
"1","1","6","0","0","-14.3","2.6","0.2","0","-14.3","0","0"
"1","1","7","0","0","-14.4","2.6","0.2","0","-14.4","0","0"
"1","1","8","61","17","-10.5","2.1","0.2","30.113","-9.837","20.747","16.048"
"1","1","9","419","75","-8.1","3.1","0.2","269.757","-2.738","249.879","237.061"
"1","1","10","602","108","-5.6","4","0.2","481.497","2.796","454.8","434.721"
"1","1","11","682","128","-3.1","5","0.2","630.217","6.49","584.963","560.272"
"1","1","12","721","137","-1.6","5.5","0.2","710.572","8.563","652.307","625.229"
"1","1","13","717","139","-1.1","5.6","0.2","708.596","8.916","649.702","622.717"
"1","1","14","664","134","-1.2","5.6","0.2","620.937","7.585","574.111","549.805"
"1","1","15","540","117","-2.1","5.4","0.2","450.87","4.441","422.857","403.91"
"1","1","16","336","82","-4","4","0.2","240.188","0.152","218.988","207.265"
"1","1","17","14","13","-6.3","2.5","0.2","17.179","-5.948","11.592","7.217"
"1","1","18","0","0","-7.7","2","0.2","0","-7.7","0","0"
"1","1","19","0","0","-8.6","2","0.2","0","-8.6","0","0"
"1","1","20","0","0","-9.2","2.1","0.2","0","-9.2","0","0"
"1","1","21","0","0","-9.8","2.2","0.2","0","-9.8","0","0"
"1","1","22","0","0","-10.3","2.2","0.2","0","-10.3","0","0"
"1","1","23","0","0","-11","2.1","0.2","0","-11","0","0"
"1","2","0","0","0","-11.6","1.9","0.2","0","-11.6","0","0"
"1","2","1","0","0","-12.1","1.8","0.2","0","-12.1","0","0"
"1","2","2","0","0","-12.7","1.8","0.2","0","-12.7","0","0"
"1","2","3","0","0","-13.3","1.7","0.2","0","-13.3","0","0"
"1","2","4","0","0","-13.8","1.6","0.2","0","-13.8","0","0"
"1","2","5","0","0","-14.1","1.5","0.2","0","-14.1","0","0"
"1","2","6","0","0","-14.3","1.3","0.2","0","-14.3","0","0"
"1","2","7","0","0","-14.4","1.2","0.2","0","-14.4","0","0"
"1","2","8","119","20","-12.7","1.2","0.2","45.791","-11.48","31.757","26.668"
"1","2","9","124","105","-10.1","1.6","0.2","175.019","-5.467","162.536","152.813"
"1","2","10","142","201","-7.7","2","0.2","313.674","-0.042","293.682","279.312"
"1","2","11","810","101","-6.1","2.4","0.2","689.146","9.498","633.951","607.524"
"1","2","12","831","110","-5.1","2.7","0.2","763.474","11.245","694.977","666.387"
"1","2","13","0","460","-4.4","2.8","0.2","527.74","6.636","477.671","456.782"
"1","2","14","808","101","-4.3","2.9","0.2","685.411","9.887","629.769","603.491"
"1","2","15","252","197","-4.7","3","0.2","370.914","2.839","346.081","329.855"
"1","2","16","526","65","-6.3","2.4","0.2","299.527","0.427","273.901","260.232"
"1","2","17","72","13","-8.4","1.5","0.2","36.613","-7.497","24.365","19.538"
"1","2","18","0","0","-10","1.3","0.2","0","-10","0","0"
"1","2","19","0","0","-11","1.3","0.2","0","-11","0","0"
"1","2","20","0","0","-11.9","1.3","0.2","0","-11.9","0","0"
"1","2","21","0","0","-12.7","1.3","0.2","0","-12.7","0","0"
"1","2","22","0","0","-13.4","1.3","0.2","0","-13.4","0","0"
"1","2","23","0","0","-14","1.3","0.2","0","-14","0","0"
"1","3","0","0","0","-14.6","1.3","0.2","0","-14.6","0","0"
"1","3","1","0","0","-15.1","1.3","0.2","0","-15.1","0","0"
"1","3","2","0","0","-15.6","1.2","0.2","0","-15.6","0","0"
"1","3","3","0","0","-16","1.2","0.2","0","-16","0","0"
"1","3","4","0","0","-16.3","1.1","0.2","0","-16.3","0","0"
"1","3","5","0","0","-16.5","1.1","0.2","0","-16.5","0","0"
"1","3","6","0","0","-16.6","1","0.2","0","-16.6","0","0"
"1","3","7","0","0","-16.6","0.9","0.2","0","-16.6","0","0"
"1","3","8","264","19","-15.1","0.8","0.2","66.371","-13.171","45.188","39.624"
"1","3","9","703","51","-12.7","0.8","0.2","358.104","-1.213","330.999","315.306"
"1","3","10","863","67","-10.4","1.1","0.2","584.065","7.108","545.987","522.677"
"1","3","11","934","75","-8.8","1.4","0.2","741.829","11.867","677.502","649.531"
"1","3","12","965","78","-7.7","1.6","0.2","818.51","14.078","738.412","708.283"
"1","3","13","968","77","-7","1.6","0.2","819.085","14.793","737.099","707.017"
"1","3","14","943","72","-6.7","1.5","0.2","738.421","13.411","670.973","643.235"
"1","3","15","875","63","-6.9","1.4","0.2","584.422","9.41","542.102","518.93"
"1","3","16","719","48","-8","1","0.2","359.485","2.941","326.943","311.394"
"1","3","17","273","17","-9.7","0.7","0.2","91.265","-7.005","59.735","53.655"
"1","3","18","0","0","-10.9","0.8","0.2","0","-10.9","0","0"
"1","3","19","0","0","-11.9","1","0.2","0","-11.9","0","0"
"1","3","20","0","0","-12.7","1","0.2","0","-12.7","0","0"
"1","3","21","0","0","-13.5","1.1","0.2","0","-13.5","0","0"
"1","3","22","0","0","-14.1","1.1","0.2","0","-14.1","0","0"
"1","3","23","0","0","-14.7","1.2","0.2","0","-14.7","0","0"
"1","4","0","0","0","-15.1","1.2","0.2","0","-15.1","0","0"
"1","4","1","0","0","-15.6","1.2","0.2","0","-15.6","0","0"
"1","4","2","0","0","-16","1.2","0.2","0","-16","0","0"
"1","4","3","0","0","-16.3","1.2","0.2","0","-16.3","0","0"
"1","4","4","0","0","-16.6","1.2","0.2","0","-16.6","0","0"
"1","4","5","0","0","-16.8","1.1","0.2","0","-16.8","0","0"
"1","4","6","0","0","-16.9","1.1","0.2","0","-16.9","0","0"
"1","4","7","0","0","-17","1.1","0.2","0","-17","0","0"
"1","4","8","251","18","-15.5","1.3","0.2","63.311","-13.877","43.142","37.65"
"1","4","9","691","51","-12.9","1.7","0.2","352.751","-3.779","328.799","313.185"
"1","4","10","850","68","-10","2","0.2","577.597","4.16","545.398","522.109"
"1","4","11","885","86","-7.7","2.3","0.2","720.843","8.931","664.844","637.323"
"1","4","12","911","93","-6.2","2.3","0.2","801.561","12.274","727.259","697.525"
"1","4","13","884","93","-5","2.2","0.2","781.356","13.358","706.311","677.32"
"1","4","14","848","89","-4.3","2.1","0.2","698.576","12.455","636.303","609.793"
"1","4","15","765","78","-4.3","2","0.2","542.783","9.004","503.337","481.539"
"1","4","16","587","58","-5.9","1.5","0.2","320.341","2.757","291.53","277.237"
"1","4","17","153","17","-8.2","1.2","0.2","63.343","-6.537","42.014","36.561"
"1","4","18","0","0","-9.7","1.4","0.2","0","-9.7","0","0"
"1","4","19","0","0","-10.6","1.5","0.2","0","-10.6","0","0"
"1","4","20","0","0","-11.3","1.5","0.2","0","-11.3","0","0"
"1","4","21","0","0","-12","1.4","0.2","0","-12","0","0"
"1","4","22","0","0","-12.5","1.3","0.2","0","-12.5","0","0"
"1","4","23","0","0","-12.9","1.3","0.2","0","-12.9","0","0"
"1","5","0","0","0","-13.3","1.2","0.2","0","-13.3","0","0"
"1","5","1","0","0","-13.4","1.1","0.2","0","-13.4","0","0"
"1","5","2","0","0","-13.4","1.1","0.2","0","-13.4","0","0"
"1","5","3","0","0","-13.3","1","0.2","0","-13.3","0","0"
"1","5","4","0","0","-13.1","0.8","0.2","0","-13.1","0","0"
"1","5","5","0","0","-12.8","0.6","0.2","0","-12.8","0","0"
"1","5","6","0","0","-12.6","0.4","0.2","0","-12.6","0","0"
"1","5","7","0","0","-12.5","0.2","0.2","0","-12.5","0","0"
"1","5","8","105","17","-11.5","0.1","0.2","39.661","-10.063","27.149","22.223"
"1","5","9","496","66","-9.5","0.2","0.2","290.565","1.604","265.132","251.774"
"1","5","10","681","91","-7.1","0.5","0.2","508.982","10.808","468.242","447.686"
"1","5","11","769","104","-4.8","1.1","0.2","665.147","15.095","599.575","574.366"
"1","5","12","804","111","-2.9","1.4","0.2","746.545","17.866","663.483","636.009"
"1","5","13","804","111","-1.9","1.2","0.2","746.895","19.879","658.928","631.616"
"1","5","14","771","104","-1.6","0.7","0.2","667.509","20.559","589.822","564.959"
"1","5","15","687","90","-1.9","0.3","0.2","512.757","17.254","460.876","440.582"
"1","5","16","506","65","-3","0.4","0.2","295.144","7.607","263.983","250.666"
"1","5","17","111","17","-4.7","0.7","0.2","52.056","-3.137","34.291","29.113"
"1","5","18","0","0","-6.1","1","0.2","0","-6.1","0","0"
"1","5","19","0","0","-7.3","1.2","0.2","0","-7.3","0","0"
