Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,0.0,0.0,0.0,30.73,0.5,4.27,0.0
1,35.0,0.0,0.0,0.0,5.0,0.2631,30.0,0.0
2,35.0,2.3,0.0,0.0,2.7,0.2245,30.0,0.0
3,35.0,2.67,0.0,0.0,2.33,0.2037,30.0,0.0
4,35.0,0.0,0.0,0.0,5.0,0.1857,30.0,0.0
5,35.0,1.54,0.0,0.0,3.46,0.1472,30.0,0.0
6,35.0,2.34,0.0,0.0,2.66,0.1205,30.0,0.0
7,36.95,1.79,5.16,0.0,0.0,0.1,30.0,0.0
8,38.83,0.0,8.83,0.0,0.0,0.1,30.0,0.0
9,40.56,0.0,10.56,0.0,0.0,0.1,30.0,0.0
10,42.07,0.85,11.22,0.0,0.0,0.1,30.0,0.0
11,43.31,0.8,23.68,11.17,0.0,0.1,30.0,0.0
12,44.24,1.14,36.18,23.09,0.0,0.1777,30.0,0.0
13,44.81,0.06,36.08,21.34,0.0,0.3384,30.0,0.0
14,45.0,0.21,31.28,16.49,0.0,0.4868,30.0,0.0
15,44.81,0.88,24.26,10.33,0.0,0.6016,30.0,0.0
16,44.24,0.76,18.21,4.73,0.0,0.6735,30.0,0.0
17,43.31,1.56,9.17,0.0,2.58,0.7064,30.0,0.0
18,42.07,1.07,0.0,0.0,11.0,0.6865,30.0,0.0
19,40.56,0.94,0.0,0.0,9.61,0.6016,30.0,0.0
20,38.83,2.53,0.0,0.0,6.29,0.5275,30.0,0.0
21,36.95,1.78,0.0,0.0,5.17,0.479,30.0,0.0
22,35.0,2.01,0.0,0.0,2.99,0.4391,30.0,0.0
23,35.0,1.3,0.0,0.0,3.7,0.416,30.0,0.0
24,35.04,1.76,0.0,0.0,3.28,0.3874,30.0,0.0
25,35.04,2.08,0.0,0.0,2.96,0.3621,30.0,0.0
26,35.04,1.39,0.0,0.0,3.66,0.3393,30.0,0.0
27,35.04,2.08,0.0,0.0,2.96,0.3111,30.0,0.0
28,35.04,1.48,0.0,0.0,3.56,0.2883,30.0,0.0
29,35.04,1.51,0.0,0.0,3.53,0.2608,30.0,0.0
30,35.04,1.22,0.0,0.0,3.82,0.2336,30.0,0.0
31,36.99,2.34,8.38,3.73,0.0,0.2041,30.0,0.0
32,38.87,1.27,17.46,9.85,0.0,0.2301,30.0,0.0
33,40.6,0.63,25.05,15.08,0.0,0.2987,30.0,0.0
34,42.11,1.51,31.23,0.0,39.37,0.4036,0.0,30.0
35,43.36,0.41,12.94,0.0,0.0,0.1,30.0,0.0
36,44.28,0.0,36.18,21.9,0.0,0.1,30.0,0.0
37,44.85,0.0,33.53,18.68,0.0,0.2524,30.0,0.0
38,45.04,0.41,29.62,14.99,0.0,0.3824,30.0,0.0
39,44.85,1.27,25.02,11.44,0.0,0.4867,30.0,0.0
40,44.28,1.65,16.86,4.23,0.0,0.5663,30.0,0.0
41,43.36,1.49,9.37,0.0,2.5,0.5957,30.0,0.0
42,42.11,1.47,0.0,0.0,10.64,0.5764,30.0,0.0
43,40.6,1.51,0.0,0.0,9.09,0.4943,30.0,0.0
44,38.87,1.03,0.0,0.0,7.84,0.4242,30.0,0.0
45,36.99,1.52,0.0,0.0,5.47,0.3638,30.0,0.0
46,35.04,1.74,0.0,0.0,3.31,0.3216,30.0,0.0
47,35.04,2.56,0.0,0.0,2.48,0.2961,30.0,0.0
48,35.09,2.22,0.0,0.0,2.87,0.277,30.0,0.0
49,35.09,1.12,0.0,0.0,3.96,0.2549,30.0,0.0
50,35.09,2.14,0.0,0.0,2.95,0.2243,30.0,0.0
51,35.09,1.69,0.0,0.0,3.39,0.2016,30.0,0.0
52,35.09,1.44,0.0,0.0,3.65,0.1755,30.0,0.0
53,35.09,1.97,0.0,0.0,3.11,0.1474,30.0,0.0
54,35.09,2.06,0.0,0.0,3.03,0.1234,30.0,0.0
55,37.04,0.0,7.04,0.0,0.0,0.1,30.0,0.0
56,38.91,0.0,8.91,0.0,0.0,0.1,30.0,0.0
57,40.64,0.0,10.64,0.0,0.0,0.1,30.0,0.0
58,42.16,0.0,12.16,0.0,0.0,0.1,30.0,0.0
59,43.4,0.0,13.4,0.0,0.0,0.1,30.0,0.0
60,44.32,0.0,32.36,18.04,0.0,0.1,30.0,0.0
61,44.89,0.94,34.53,20.58,0.0,0.2255,30.0,0.0
