Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,2.13,0.0,3.15,0.0,0.5,36.02,0.0
1,35.0,0.0,0.0,0.11,0.0,0.5717,35.11,0.0
2,35.0,2.14,0.0,3.16,0.0,0.5742,36.02,0.0
3,35.0,2.48,0.0,3.5,0.0,0.6461,36.02,0.0
4,35.0,0.0,0.0,0.0,0.0,0.7256,35.0,0.0
5,35.0,0.0,0.0,1.02,0.0,0.7256,36.02,0.0
6,35.0,2.17,0.0,3.19,0.0,0.7488,36.02,0.0
7,36.95,1.66,0.0,0.73,0.0,0.8214,36.02,0.0
8,38.83,0.0,5.53,2.72,0.0,0.838,36.02,0.0
9,40.56,1.34,8.11,0.0,31.75,0.9,0.0,0.64
10,42.07,0.79,10.07,4.81,0.0,0.1,36.02,0.0
11,43.31,0.74,10.88,4.33,0.0,0.2093,36.02,0.0
12,44.24,1.06,11.58,4.43,0.0,0.3079,36.02,0.0
13,44.81,0.06,11.55,2.82,0.0,0.4085,36.02,0.0
14,45.0,0.19,10.01,1.23,0.0,0.4726,36.02,0.0
15,44.81,0.82,7.76,0.0,0.2,0.5005,36.02,0.0
16,44.24,0.0,5.83,0.0,2.39,0.4954,36.02,0.0
17,43.31,1.45,2.94,0.0,2.91,0.4351,36.02,0.0
18,42.07,0.99,0.0,0.0,5.06,0.3618,36.02,0.0
19,40.56,0.87,0.0,0.0,4.87,0.2343,34.81,0.0
20,38.83,2.35,0.0,0.0,0.45,0.1114,36.02,0.0
21,36.95,0.93,0.0,0.0,0.0,0.1,36.02,0.0
22,35.0,1.86,0.0,2.88,0.0,0.1,36.02,0.0
23,35.0,0.0,0.0,0.0,0.0,0.1656,35.0,0.0
24,35.04,1.64,0.0,0.0,0.0,0.1656,33.41,0.0
25,35.04,1.93,0.0,0.0,0.0,0.1656,33.11,0.0
26,35.04,0.0,0.0,0.98,0.0,0.1656,36.02,0.0
27,35.04,0.0,0.0,0.98,0.0,0.1878,36.02,0.0
28,35.04,0.0,0.0,0.98,0.0,0.2101,36.02,0.0
29,35.04,1.41,0.0,2.38,0.0,0.2323,36.02,0.0
30,35.04,0.0,0.0,0.0,0.0,0.2865,35.04,0.0
31,36.99,2.18,2.68,3.89,0.0,0.2865,36.02,0.0
