Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,2.09,0.0,0.0,0.18,0.5,32.73,0.0
1,35.0,1.78,0.0,0.0,0.49,0.4979,32.73,0.0
2,35.0,2.1,0.0,0.0,0.17,0.4923,32.73,0.0
3,35.0,2.27,0.0,0.0,0.0,0.4903,32.73,0.0
4,35.0,1.52,0.0,0.0,0.75,0.4903,32.73,0.0
5,35.0,1.41,0.0,0.0,0.86,0.4816,32.73,0.0
6,35.0,2.13,0.0,0.0,0.14,0.4717,32.73,0.0
7,36.95,1.63,6.0,3.41,0.0,0.4701,32.73,0.0
8,38.83,0.94,13.67,8.52,0.0,0.5056,32.73,0.0
9,40.56,1.32,20.04,13.53,0.0,0.5941,32.73,0.0
10,42.07,0.78,24.88,0.0,49.14,0.7349,0.0,32.73
11,43.31,0.0,10.59,0.0,0.0,0.1686,32.73,0.0
12,44.24,1.04,28.63,18.16,0.0,0.1686,32.73,0.0
13,44.81,0.06,28.55,16.52,0.0,0.3575,32.73,0.0
14,45.0,0.19,24.75,12.67,0.0,0.5293,32.73,0.0
15,44.81,0.8,19.19,7.92,0.0,0.6611,32.73,0.0
16,44.24,0.69,14.4,3.59,0.0,0.7434,32.73,0.0
17,43.31,1.42,7.26,0.0,1.91,0.7807,32.73,0.0
18,42.07,0.97,0.0,0.0,8.37,0.7587,32.73,0.0
19,40.56,0.86,0.0,0.0,6.97,0.6623,32.73,0.0
20,38.83,2.31,0.0,0.0,3.79,0.582,32.73,0.0
21,36.95,1.62,0.0,0.0,2.6,0.5383,32.73,0.0
22,35.0,1.83,0.0,0.0,0.44,0.5083,32.73,0.0
23,35.0,1.18,0.0,0.0,1.09,0.5032,32.73,0.0
24,35.04,1.61,0.0,0.0,0.71,0.4907,32.73,0.0
25,35.04,1.9,0.0,0.0,0.42,0.4826,32.73,0.0
26,35.04,1.26,0.0,0.0,1.05,0.4777,32.73,0.0
27,35.04,1.9,0.0,0.0,0.41,0.4656,32.73,0.0
28,35.04,1.35,0.0,0.0,0.97,0.4608,32.73,0.0
29,35.04,1.38,0.0,0.0,0.93,0.4497,32.73,0.0
30,35.04,1.12,0.0,0.0,1.2,0.439,32.73,0.0
31,36.99,2.14,6.63,4.5,0.0,0.4252,32.73,0.0
32,38.87,1.16,4.98,0.0,0.0,0.472,32.73,0.0
33,40.6,0.57,19.81,12.52,0.0,0.472,32.73,0.0
34,42.11,1.38,24.71,0.0,43.58,0.6022,0.0,27.55
35,43.36,0.0,27.96,17.33,0.0,0.1,32.73,0.0
36,44.28,0.0,28.69,10.37,0.0,0.2802,25.96,0.0
