Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
1,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
2,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
3,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
4,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
5,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
6,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
7,36.95,0.0,5.94,0.81,0.0,0.0,31.82,0.0
8,38.83,0.0,13.52,0.0,0.0,0.0691,25.3,0.0
9,40.56,0.0,19.83,0.0,0.0,0.0691,20.73,0.0
10,42.07,0.0,24.62,0.0,0.0,0.0691,17.45,0.0
11,43.31,0.0,26.62,0.0,0.0,0.0691,16.7,0.0
12,44.24,0.0,28.32,0.0,0.0,0.0691,15.92,0.0
13,44.81,0.0,28.24,0.0,0.0,0.0691,16.56,0.0
14,45.0,0.0,24.48,0.0,0.0,0.0691,20.52,0.0
15,44.81,0.0,18.99,0.0,0.0,0.0691,25.82,0.0
16,44.24,0.0,14.25,0.0,0.0,0.0691,29.99,0.0
17,43.31,0.0,7.18,3.32,0.0,0.0691,39.45,0.0
18,42.07,0.0,0.0,0.0,2.62,0.3514,39.45,0.0
19,40.56,0.0,0.0,0.0,1.1,0.1042,39.45,0.0
20,38.83,0.0,0.0,0.0,0.0,0.0,38.83,0.0
21,36.95,0.0,0.0,0.0,0.0,0.0,36.95,0.0
22,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
23,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
24,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
25,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
26,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
27,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
28,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
29,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
30,35.04,0.0,0.0,4.22,0.0,0.0,39.27,0.0
31,36.99,0.0,6.56,0.0,0.0,0.3595,30.43,0.0
32,38.87,0.0,13.66,0.0,0.0,0.3595,25.21,0.0
33,40.6,0.0,19.6,0.0,0.0,0.3595,20.99,0.0
34,42.11,0.0,24.45,0.0,0.0,0.3595,17.67,0.0
35,43.36,0.0,27.66,0.0,0.0,0.3595,15.7,0.0
36,44.28,0.0,28.39,0.0,0.0,0.3595,15.89,0.0
37,44.85,0.0,26.25,0.0,0.0,0.3595,18.6,0.0
38,45.04,0.0,23.18,0.0,0.0,0.3595,21.86,0.0
39,44.85,0.0,19.58,0.0,0.0,0.3595,25.27,0.0
40,44.28,0.0,13.19,0.0,0.0,0.3595,31.09,0.0
41,43.36,0.0,7.33,0.0,0.0,0.3595,36.02,0.0
42,42.11,0.0,0.0,0.0,2.66,0.3595,39.45,0.0
43,40.6,0.0,0.0,0.0,1.15,0.1083,39.45,0.0
44,38.87,0.0,0.0,0.0,0.0,0.0,38.87,0.0
45,36.99,0.0,0.0,0.0,0.0,0.0,36.99,0.0
