Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,18.63,0.0,0.0,16.37,0.5,0.0,0.0
1,35.0,15.86,0.0,0.0,0.0,0.3262,19.14,0.0
2,35.0,18.7,0.0,0.0,5.91,0.3262,10.39,0.0
3,35.0,21.67,0.0,16.67,0.0,0.2635,30.0,0.0
4,35.0,13.53,0.0,8.53,0.0,0.4233,30.0,0.0
5,35.0,12.53,0.0,7.53,0.0,0.505,30.0,0.0
6,35.0,18.97,0.0,13.97,0.0,0.5772,30.0,0.0
7,36.95,14.54,12.13,19.72,0.0,0.7111,30.0,0.0
8,38.83,8.41,27.62,0.0,32.79,0.9,0.0,30.0
9,40.56,11.75,40.49,0.0,18.31,0.5518,0.0,30.0
10,42.07,6.92,50.28,0.0,11.78,0.3574,0.0,26.91
11,43.31,6.5,54.35,0.0,12.46,0.2323,0.0,30.0
12,44.24,9.29,57.84,22.89,0.0,0.1,0.0,0.0
13,44.81,0.5,57.68,13.37,0.0,0.3194,0.0,0.0
14,45.0,1.69,50.0,25.06,0.0,0.4475,18.36,0.0
15,44.81,7.17,38.77,1.14,0.0,0.6876,0.0,0.0
16,44.24,6.16,29.1,21.03,0.0,0.6985,30.0,0.0
17,43.31,12.66,14.66,0.0,45.99,0.9,0.0,30.0
18,42.07,8.67,0.0,0.0,3.4,0.4117,30.0,0.0
19,40.56,7.65,0.0,0.0,25.96,0.3756,6.95,0.0
20,38.83,20.57,0.0,11.75,0.0,0.1,30.0,0.0
21,36.95,14.42,0.0,0.0,10.6,0.2126,11.92,0.0
22,35.0,16.3,0.0,3.49,0.0,0.1,22.19,0.0
23,35.0,10.53,0.0,5.53,0.0,0.1334,30.0,0.0
24,35.04,14.32,0.0,0.0,0.0,0.1864,20.73,0.0
25,35.04,16.89,0.0,11.85,0.0,0.1864,30.0,0.0
26,35.04,11.25,0.0,6.21,0.0,0.2999,30.0,0.0
27,35.04,16.92,0.0,11.87,0.0,0.3594,30.0,0.0
28,35.04,12.01,0.0,6.97,0.0,0.4731,30.0,0.0
29,35.04,12.29,0.0,7.25,0.0,0.5399,30.0,0.0
30,35.04,9.94,0.0,4.89,0.0,0.6094,30.0,0.0
31,36.99,19.03,13.4,25.44,0.0,0.6563,30.0,0.0
32,38.87,10.3,27.9,0.0,30.66,0.9,0.0,30.0
33,40.6,5.12,40.04,0.0,25.44,0.5744,0.0,30.0
34,42.11,12.25,49.92,0.0,9.94,0.3043,0.0,30.0
35,43.36,3.37,56.49,0.0,9.3,0.1988,0.0,25.81
36,44.28,9.15,57.97,22.84,0.0,0.1,0.0,0.0
37,44.85,0.31,53.6,9.06,0.0,0.3189,0.0,0.0
38,45.04,3.34,47.35,5.64,0.0,0.4057,0.0,0.0
39,44.85,10.32,40.0,35.46,0.0,0.4598,30.0,0.0
40,44.28,13.42,26.94,0.0,0.0,0.7995,3.92,0.0
41,43.36,12.07,14.98,10.48,0.0,0.7995,26.8,0.0
42,42.11,11.95,0.0,0.0,0.16,0.9,30.0,0.0
43,40.6,12.25,0.0,0.0,50.0,0.8983,0.0,21.66
44,38.87,8.38,0.0,0.0,0.49,0.3674,30.0,0.0
45,36.99,12.38,0.0,5.38,0.0,0.3622,30.0,0.0
46,35.04,14.11,0.0,9.07,0.0,0.4137,30.0,0.0
47,35.04,20.81,0.0,15.77,0.0,0.5006,30.0,0.0
48,35.09,18.0,0.0,0.0,17.09,0.6517,0.0,0.0
49,35.09,9.13,0.0,0.0,25.96,0.4703,0.0,0.0
50,35.09,17.36,0.0,12.27,0.0,0.1946,30.0,0.0
51,35.09,13.76,0.0,8.68,0.0,0.3122,30.0,0.0
52,35.09,11.69,0.0,6.61,0.0,0.3954,30.0,0.0
53,35.09,16.03,0.0,10.95,0.0,0.4587,30.0,0.0
54,35.09,16.7,0.0,11.61,0.0,0.5636,30.0,0.0
55,37.04,15.21,14.06,22.24,0.0,0.6749,30.0,0.0
56,38.91,6.88,28.01,0.0,34.02,0.8879,0.0,30.0
57,40.64,8.22,39.16,0.0,23.27,0.5267,0.0,30.0
58,42.16,10.21,47.75,0.0,11.57,0.2797,0.0,27.38
59,43.4,12.47,55.58,0.0,5.35,0.1568,0.0,30.0
60,44.32,6.3,56.84,18.81,0.0,0.1,0.0,0.0
61,44.89,7.66,55.2,17.97,0.0,0.2803,0.0,0.0
62,45.09,4.26,49.0,8.17,0.0,0.4524,0.0,0.0
63,44.89,4.54,39.19,13.25,0.0,0.5307,14.41,0.0
64,44.32,13.72,25.9,25.29,0.0,0.6576,30.0,0.0
65,43.4,16.97,15.16,0.0,41.27,0.9,0.0,30.0
66,42.16,12.13,0.0,0.0,0.03,0.4619,30.0,0.0
67,40.64,17.66,0.0,0.0,34.06,0.4616,0.0,11.07
68,38.91,16.0,0.0,7.09,0.0,0.1,30.0,0.0
69,37.04,12.68,0.0,0.0,0.0,0.1679,24.35,0.0
70,35.09,17.51,0.0,0.0,0.0,0.1679,17.57,0.0
71,35.09,22.8,0.0,17.72,0.0,0.1679,30.0,0.0
72,35.13,16.42,0.0,11.29,0.0,0.3376,30.0,0.0
73,35.13,22.91,0.0,0.0,0.0,0.4458,12.22,0.0
74,35.13,5.16,0.0,0.0,0.0,0.4458,29.97,0.0
75,35.13,18.76,0.0,0.0,0.0,0.4458,16.37,0.0
76,35.13,14.86,0.0,0.0,0.0,0.4458,20.27,0.0
77,35.13,12.26,0.0,0.0,0.0,0.4458,22.87,0.0
78,35.13,12.8,0.0,0.0,0.0,0.4458,22.32,0.0
79,37.08,3.12,12.14,0.0,0.0,0.4458,21.83,0.0
80,38.96,9.44,28.54,0.0,0.0,0.4458,0.97,0.0
81,40.68,10.97,39.16,0.0,20.55,0.4458,0.0,30.0
82,42.2,14.96,49.42,22.18,0.0,0.2277,0.0,0.0
83,43.44,6.28,56.26,0.0,10.91,0.4402,0.0,30.0
84,44.37,4.93,55.65,16.21,0.0,0.3244,0.0,0.0
85,44.94,6.34,54.01,15.42,0.0,0.4797,0.0,0.0
86,45.13,12.63,50.4,17.9,0.0,0.6274,0.0,0.0
87,44.94,10.86,42.38,8.3,0.0,0.7989,0.0,0.0
88,44.37,8.16,28.61,2.24,0.0,0.8785,9.85,0.0
89,43.44,13.48,13.61,0.0,0.0,0.9,16.35,0.0
90,42.2,12.83,0.0,0.0,0.0,0.9,29.37,0.0
91,40.68,17.51,0.0,0.0,50.0,0.9,0.0,26.83
92,38.96,11.59,0.0,0.0,25.35,0.3692,2.02,0.0
93,37.08,14.0,0.0,6.92,0.0,0.1,30.0,0.0
94,35.13,14.39,0.0,0.0,0.0,0.1663,20.74,0.0
95,35.13,10.36,0.0,0.0,6.24,0.1663,18.52,0.0
96,35.17,17.79,0.0,12.62,0.0,0.1,30.0,0.0
97,35.17,17.5,0.0,0.0,0.0,0.2209,17.67,0.0
98,35.17,16.03,0.0,10.86,0.0,0.2209,30.0,0.0
99,35.17,14.38,0.0,9.21,0.0,0.3249,30.0,0.0
100,35.17,8.63,0.0,3.46,0.0,0.4132,30.0,0.0
101,35.17,11.75,0.0,6.58,0.0,0.4463,30.0,0.0
102,35.17,11.0,0.0,5.83,0.0,0.5093,30.0,0.0
