Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,19.14,0.0,0.0,0.0,0.0,15.86,0.0
1,35.0,19.14,0.0,0.0,0.0,0.0,15.86,0.0
2,35.0,22.32,0.0,0.0,0.0,0.0,12.68,0.0
3,35.0,22.32,0.0,0.0,0.0,0.0,12.68,0.0
4,35.0,19.14,0.0,0.0,0.0,0.0,15.86,0.0
5,35.0,13.71,0.0,0.0,0.0,0.0,21.29,0.0
6,35.0,9.42,0.0,0.0,0.0,0.0,25.58,0.0
7,36.95,9.42,0.0,0.0,0.0,0.0,27.53,0.0
8,38.83,2.79,2.21,0.0,0.0,0.0,33.83,0.0
9,40.56,22.32,32.6,0.0,0.0,0.0,0.0,14.36
10,42.07,68.05,59.77,25.75,0.0,0.0,0.0,60.0
11,43.31,40.04,77.04,13.77,0.0,0.1359,0.0,60.0
12,44.24,100.19,0.0,50.0,0.0,0.2085,0.0,5.95
13,44.81,100.19,0.0,0.0,0.0,0.4723,0.0,55.39
14,45.0,29.4,75.6,0.0,0.0,0.4723,0.0,60.0
15,44.81,99.27,55.54,50.0,0.0,0.4723,0.0,60.0
16,44.24,68.05,28.5,50.0,0.0,0.7362,0.0,2.31
17,43.31,7.66,0.99,0.0,0.0,1.0,34.66,0.0
18,42.07,2.03,0.0,0.0,0.0,1.0,40.04,0.0
19,40.56,2.03,0.0,0.0,38.52,1.0,0.0,0.0
20,38.83,2.79,0.0,0.0,32.21,0.7748,3.83,0.0
21,36.95,3.71,0.0,0.0,33.24,0.5865,0.0,0.0
22,35.0,3.71,0.0,0.0,0.0,0.3922,31.29,0.0
23,35.0,2.79,0.0,0.0,32.21,0.3922,0.0,0.0
24,35.04,1.43,0.0,0.0,0.0,0.2038,33.61,0.0
25,35.04,0.96,0.0,0.0,0.0,0.2038,34.09,0.0
26,35.04,0.96,0.0,0.0,0.0,0.2038,34.09,0.0
27,35.04,0.6,0.0,0.0,0.0,0.2038,34.44,0.0
28,35.04,0.35,0.0,0.0,0.0,0.2038,34.69,0.0
29,35.04,0.18,0.0,0.0,34.86,0.2038,0.0,0.0
30,35.04,0.02,0.0,0.0,0.0,0.0,35.02,0.0
31,36.99,0.0,0.0,0.0,0.0,0.0,36.99,0.0
32,38.87,0.0,3.67,0.0,0.0,0.0,35.2,0.0
33,40.6,0.35,21.01,0.0,0.0,0.0,19.24,0.0
