Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,8.24,0.0,0.0,0.0,0.0,26.76,0.0
1,35.0,8.24,0.0,0.0,0.0,0.0,26.76,0.0
2,35.0,9.61,0.0,0.0,0.0,0.0,25.39,0.0
3,35.0,9.61,0.0,0.0,0.0,0.0,25.39,0.0
4,35.0,8.24,0.0,0.0,0.0,0.0,26.76,0.0
5,35.0,5.9,0.0,0.0,0.0,0.0,29.1,0.0
6,35.0,4.05,0.0,0.0,0.0,0.0,30.95,0.0
7,36.95,4.05,0.0,0.0,0.0,0.0,32.9,0.0
8,38.83,1.2,2.21,0.0,0.0,0.0,35.42,0.0
9,40.56,9.61,32.6,0.05,0.0,0.0,0.0,1.6
10,42.07,29.29,59.77,0.0,0.0,0.0002,0.0,46.99
11,43.31,43.12,77.04,16.85,0.0,0.0002,0.0,60.0
12,44.24,43.12,85.97,50.0,0.0,0.0733,0.0,34.85
13,44.81,43.12,85.62,50.0,0.0,0.2903,0.0,33.94
14,45.0,43.12,75.6,50.0,0.0,0.5073,0.0,23.72
15,44.81,43.12,55.54,50.0,0.0,0.7242,0.0,3.85
16,44.24,29.29,28.5,13.55,0.0,0.9412,0.0,0.0
17,43.31,3.3,0.99,0.0,0.81,1.0,38.21,0.0
18,42.07,0.88,0.0,0.0,0.0,0.9961,41.2,0.0
19,40.56,0.88,0.0,0.0,0.0,0.9961,39.68,0.0
20,38.83,1.2,0.0,0.0,0.0,0.9961,37.63,0.0
21,36.95,1.6,0.0,0.0,0.0,0.9961,35.35,0.0
22,35.0,1.6,0.0,0.0,0.0,0.9961,33.4,0.0
23,35.0,1.2,0.0,0.0,33.8,0.9961,0.0,0.0
24,35.04,0.62,0.0,0.0,34.43,0.8336,0.0,0.0
25,35.04,0.41,0.0,0.0,34.63,0.668,0.0,0.0
26,35.04,0.41,0.0,0.0,34.63,0.5015,0.0,0.0
27,35.04,0.26,0.0,0.0,34.78,0.335,0.0,0.0
28,35.04,0.15,0.0,0.0,34.89,0.1678,0.0,0.0
29,35.04,0.08,0.0,0.0,0.0,0.0,34.97,0.0
30,35.04,0.01,0.0,0.0,0.0,0.0,35.03,0.0
31,36.99,0.0,0.0,0.0,0.0,0.0,36.99,0.0
32,38.87,0.0,3.67,0.0,0.0,0.0,35.2,0.0
33,40.6,0.15,21.01,0.0,0.0,0.0,19.44,0.0
34,42.11,0.88,38.41,0.0,0.0,0.0,2.83,0.0
35,43.36,2.64,83.53,42.82,0.0,0.0,0.0,0.0
36,44.28,4.92,91.63,50.0,0.0,0.1858,0.0,2.27
37,44.85,5.9,62.81,23.86,0.0,0.4028,0.0,0.0
38,45.04,7.0,82.98,44.94,0.0,0.5063,0.0,0.0
39,44.85,8.24,45.36,8.74,0.0,0.7013,0.0,0.0
40,44.28,2.64,35.78,0.0,5.86,0.7392,0.0,0.0
41,43.36,0.08,2.69,0.0,5.76,0.7111,34.84,0.0
42,42.11,0.01,0.0,0.0,0.0,0.6834,42.1,0.0
43,40.6,0.01,0.0,0.0,0.0,0.6834,40.59,0.0
44,38.87,0.01,0.0,0.0,0.0,0.6834,38.86,0.0
45,36.99,0.01,0.0,0.0,36.98,0.6834,0.0,0.0
46,35.04,0.01,0.0,0.0,35.03,0.5055,0.0,0.0
47,35.04,0.01,0.0,0.0,35.03,0.3371,0.0,0.0
48,35.09,0.01,0.0,0.0,35.08,0.1687,0.0,0.0
49,35.09,0.01,0.0,0.0,0.0,0.0,35.08,0.0
50,35.09,0.0,0.0,0.0,0.0,0.0,35.08,0.0
51,35.09,0.0,0.0,0.0,0.0,0.0,35.08,0.0
