Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
1,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
2,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
3,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
4,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
5,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
6,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
7,36.95,0.0,0.0,0.0,0.0,0.0,36.95,0.0
8,38.83,0.0,1.32,0.0,0.0,0.0,37.51,0.0
9,40.56,0.0,19.46,0.0,0.0,0.0,21.09,0.0
10,42.07,0.0,35.69,0.0,0.0,0.0,6.38,0.0
11,43.31,0.0,46.0,2.68,0.0,0.0,0.0,0.0
12,44.24,0.0,51.33,7.09,0.0,0.0668,0.0,0.0
13,44.81,0.0,51.12,6.32,0.0,0.2433,0.0,0.0
14,45.0,0.0,45.14,0.14,0.0,0.4005,0.0,0.0
15,44.81,0.0,33.16,0.0,0.0,0.4039,11.65,0.0
16,44.24,0.0,17.02,0.0,0.0,0.4039,27.22,0.0
17,43.31,0.0,0.59,0.0,4.75,0.4039,37.97,0.0
18,42.07,0.0,0.0,0.0,4.1,0.2729,37.97,0.0
19,40.56,0.0,0.0,0.0,4.94,0.1599,35.61,0.0
20,38.83,0.0,0.0,0.0,0.85,0.0235,37.97,0.0
21,36.95,0.0,0.0,0.0,0.0,0.0,36.95,0.0
22,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
23,35.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
24,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
25,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
26,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
27,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
28,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
29,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
30,35.04,0.0,0.0,0.0,0.0,0.0,35.04,0.0
31,36.99,0.0,0.0,0.0,0.0,0.0,36.99,0.0
32,38.87,0.0,2.19,0.0,0.0,0.0,36.68,0.0
33,40.6,0.0,12.55,0.0,0.0,0.0,28.05,0.0
34,42.11,0.0,22.93,0.0,0.0,0.0,19.18,0.0
35,43.36,0.0,49.88,6.52,0.0,0.0,0.0,0.0
36,44.28,0.0,54.71,10.43,0.0,0.1622,0.0,0.0
37,44.85,0.0,37.5,0.0,0.0,0.4218,7.35,0.0
38,45.04,0.0,49.54,4.5,0.0,0.4218,0.0,0.0
39,44.85,0.0,27.08,0.0,7.91,0.5338,9.86,0.0
40,44.28,0.0,21.36,0.0,0.0,0.3156,22.92,0.0
41,43.36,0.0,1.6,0.0,3.78,0.3156,37.97,0.0
42,42.11,0.0,0.0,0.0,4.14,0.2113,37.97,0.0
43,40.6,0.0,0.0,0.0,2.63,0.0971,37.97,0.0
44,38.87,0.0,0.0,0.0,0.9,0.0247,37.97,0.0
45,36.99,0.0,0.0,0.0,0.0,0.0,36.99,0.0
