Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,18.52,0.0,0.0,0.0,0.0,16.48,0.0
1,35.0,18.52,0.0,3.36,0.0,0.0,19.84,0.0
2,35.0,21.6,0.0,0.0,0.0,0.0187,13.4,0.0
3,35.0,21.6,0.0,0.0,0.0,0.0187,13.4,0.0
4,35.0,18.52,0.0,0.0,0.0,0.0187,16.48,0.0
5,35.0,13.27,0.0,0.0,0.0,0.0187,21.73,0.0
6,35.0,9.11,0.0,0.0,0.0,0.0187,25.89,0.0
7,36.95,9.11,0.0,0.0,0.0,0.0187,27.84,0.0
8,38.83,2.7,2.21,0.0,3.03,0.0187,30.89,0.0
9,40.56,21.6,32.6,0.0,0.0,0.0,0.0,13.64
10,42.07,42.89,59.77,29.7,0.0,0.0,0.0,30.89
11,43.31,47.17,77.04,50.0,0.0,0.1653,0.0,30.89
12,44.24,39.16,85.97,50.0,0.0,0.4435,0.0,30.89
13,44.81,40.08,85.62,50.0,0.0,0.7218,0.0,30.89
14,45.0,0.29,75.6,0.0,0.0,1.0,0.0,30.89
15,44.81,20.16,55.54,0.0,0.0,1.0,0.0,30.89
16,44.24,46.63,28.5,0.0,0.0,1.0,0.0,30.89
17,43.31,7.41,0.99,0.0,4.02,1.0,30.89,0.0
18,42.07,1.97,0.0,0.0,9.21,0.9752,30.89,0.0
19,40.56,1.97,0.0,0.0,7.7,0.9184,30.89,0.0
20,38.83,2.7,0.0,0.0,5.24,0.871,30.89,0.0
21,36.95,3.59,0.0,0.0,6.3,0.8387,27.06,0.0
22,35.0,3.59,0.0,0.0,0.51,0.7999,30.89,0.0
23,35.0,2.7,0.0,0.0,1.41,0.7967,30.89,0.0
24,35.04,1.38,0.0,0.0,33.66,0.788,0.0,0.0
25,35.04,0.93,0.0,0.0,34.12,0.5804,0.0,0.0
26,35.04,0.93,0.0,0.0,3.23,0.3701,30.89,0.0
27,35.04,0.58,0.0,0.0,3.57,0.3502,30.89,0.0
28,35.04,0.34,0.0,0.0,3.81,0.3282,30.89,0.0
29,35.04,0.17,0.0,0.0,3.98,0.3047,30.89,0.0
30,35.04,0.02,0.0,0.0,35.02,0.2801,0.0,0.0
31,36.99,0.0,0.0,0.0,6.1,0.0642,30.89,0.0
32,38.87,0.0,3.67,0.0,4.31,0.0266,30.89,0.0
33,40.6,0.34,21.01,0.0,0.0,0.0,19.25,0.0
34,42.11,1.97,38.41,0.0,0.0,0.0,1.74,0.0
35,43.36,5.93,83.53,29.45,0.0,0.0,0.0,16.66
36,44.28,11.06,91.63,50.0,0.0,0.1639,0.0,8.41
37,44.85,13.27,62.81,31.22,0.0,0.4421,0.0,0.0
38,45.04,15.75,82.98,50.0,0.0,0.6159,0.0,3.68
39,44.85,18.52,45.36,19.02,0.0,0.8941,0.0,0.0
40,44.28,5.93,35.78,0.0,2.57,1.0,0.0,0.0
41,43.36,0.17,2.69,0.0,40.5,0.9842,0.0,0.0
42,42.11,0.02,0.0,0.0,11.2,0.7345,30.89,0.0
43,40.6,0.02,0.0,0.0,16.68,0.6654,23.89,0.0
44,38.87,0.02,0.0,0.0,7.96,0.5625,30.89,0.0
45,36.99,0.02,0.0,0.0,6.08,0.5135,30.89,0.0
46,35.04,0.02,0.0,0.0,4.13,0.476,30.89,0.0
47,35.04,0.02,0.0,0.0,4.13,0.4505,30.89,0.0
48,35.09,0.02,0.0,0.0,4.17,0.425,30.89,0.0
49,35.09,0.02,0.0,0.0,4.17,0.3993,30.89,0.0
50,35.09,0.0,0.0,0.0,35.08,0.3736,0.0,0.0
