Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,7.03,0.0,3.22,0.0,0.0,31.19,0.0
1,35.0,7.03,0.0,3.22,0.0,0.0192,31.19,0.0
2,35.0,8.2,0.0,0.16,0.0,0.0384,26.96,0.0
3,35.0,8.2,0.0,0.0,0.0,0.0393,26.8,0.0
4,35.0,7.03,0.0,0.0,0.0,0.0393,27.97,0.0
5,35.0,5.04,0.0,1.23,0.0,0.0393,31.19,0.0
6,35.0,3.46,0.0,0.0,0.35,0.0467,31.19,0.0
7,36.95,3.46,0.0,0.0,2.3,0.0443,31.19,0.0
8,38.83,1.03,2.21,0.0,4.41,0.0291,31.19,0.0
9,40.56,8.2,32.6,0.0,0.0,0.0,0.0,0.24
10,42.07,25.01,59.77,11.53,0.0,0.0,0.0,31.19
11,43.31,36.82,77.04,39.36,0.0,0.0687,0.0,31.19
12,44.24,36.82,85.97,47.37,0.0,0.3033,0.0,31.19
13,44.81,36.82,56.08,16.9,0.0,0.5857,0.0,31.19
14,45.0,36.82,75.6,36.24,0.0,0.6864,0.0,31.19
15,44.81,36.82,55.54,16.37,0.0,0.9024,0.0,31.19
16,44.24,25.01,28.5,0.0,0.0,1.0,0.0,9.27
17,43.31,2.81,0.99,0.0,8.32,1.0,31.19,0.0
18,42.07,0.75,0.0,0.0,10.14,0.945,31.19,0.0
19,40.56,0.75,0.0,0.0,19.16,0.8781,20.65,0.0
20,38.83,1.03,0.0,0.0,6.61,0.7516,31.19,0.0
21,36.95,1.37,0.0,0.0,4.4,0.7079,31.19,0.0
22,35.0,1.37,0.0,0.0,2.45,0.6788,31.19,0.0
23,35.0,1.03,0.0,0.0,2.79,0.6626,31.19,0.0
24,35.04,0.53,0.0,0.0,3.33,0.6442,31.19,0.0
25,35.04,0.35,0.0,0.0,3.5,0.6222,31.19,0.0
26,35.04,0.35,0.0,0.0,3.5,0.5991,31.19,0.0
27,35.04,0.22,0.0,0.0,3.63,0.5759,31.19,0.0
28,35.04,0.13,0.0,0.0,34.91,0.5519,0.0,0.0
29,35.04,0.07,0.0,0.0,3.79,0.3213,31.19,0.0
30,35.04,0.01,0.0,0.0,35.03,0.2963,0.0,0.0
31,36.99,0.0,0.0,0.0,5.81,0.0649,31.19,0.0
32,38.87,0.0,3.67,0.0,4.02,0.0265,31.19,0.0
33,40.6,0.13,21.01,0.0,0.0,0.0,19.46,0.0
34,42.11,0.75,38.41,0.0,0.0,0.0,2.96,0.0
35,43.36,2.25,83.53,42.43,0.0,0.0,0.0,0.0
36,44.28,4.2,91.63,50.0,0.0,0.2529,0.0,1.55
37,44.85,5.04,62.81,23.0,0.0,0.551,0.0,0.0
38,45.04,5.98,82.98,43.92,0.0,0.688,0.0,0.0
39,44.85,7.03,45.36,7.54,0.0,0.9498,0.0,0.0
40,44.28,2.25,35.78,0.0,0.0,0.9948,6.25,0.0
41,43.36,0.07,2.69,0.0,40.61,0.9948,0.0,0.0
42,42.11,0.01,0.0,0.0,10.92,0.7266,31.19,0.0
43,40.6,0.01,0.0,0.0,9.4,0.6544,31.19,0.0
44,38.87,0.01,0.0,0.0,9.59,0.5923,29.27,0.0
45,36.99,0.01,0.0,0.0,5.8,0.529,31.19,0.0
46,35.04,0.01,0.0,0.0,3.85,0.4907,31.19,0.0
47,35.04,0.01,0.0,0.0,3.85,0.4653,31.19,0.0
48,35.09,0.01,0.0,0.0,3.89,0.4398,31.19,0.0
49,35.09,0.01,0.0,0.0,3.89,0.4141,31.19,0.0
50,35.09,0.0,0.0,0.0,3.9,0.3884,31.19,0.0
51,35.09,0.0,0.0,0.0,3.9,0.3627,31.19,0.0
52,35.09,0.0,0.0,0.0,3.9,0.3369,31.19,0.0
53,35.09,0.0,0.0,0.0,3.9,0.3112,31.19,0.0
54,35.09,0.0,0.0,0.0,3.9,0.2854,31.19,0.0
55,37.04,0.0,0.0,0.0,5.85,0.2597,31.19,0.0
56,38.91,0.0,5.45,0.0,33.46,0.221,0.0,0.0
57,40.64,0.0,43.35,0.0,0.0,0.0,0.0,2.71
58,42.16,0.0,71.87,0.0,0.0,0.0,0.0,29.71
59,43.4,0.03,89.31,14.75,0.0,0.0,0.0,31.19
60,44.32,0.13,97.39,50.0,0.0,0.0879,0.0,3.19
61,44.89,0.13,97.21,50.0,0.0,0.386,0.0,2.45
62,45.09,0.07,88.44,43.42,0.0,0.684,0.0,0.0
63,44.89,0.03,71.35,9.59,0.0,0.9429,0.0,16.9
64,44.32,0.0,42.82,0.0,0.0,1.0,1.51,0.0
65,43.4,0.0,7.38,0.0,4.84,1.0,31.19,0.0
66,42.16,0.0,0.0,0.0,17.29,0.9681,24.86,0.0
67,40.64,0.0,0.0,0.0,9.46,0.8538,31.19,0.0
68,38.91,0.0,0.0,0.0,7.73,0.7914,31.19,0.0
69,37.04,0.0,0.0,0.0,37.04,0.7404,0.0,0.0
70,35.09,0.0,0.0,0.0,3.9,0.4957,31.19,0.0
71,35.09,0.0,0.0,0.0,3.9,0.47,31.19,0.0
72,35.13,0.0,0.0,0.0,3.94,0.4442,31.19,0.0
73,35.13,0.0,0.0,0.0,3.94,0.4182,31.19,0.0
74,35.13,0.0,0.0,0.0,3.94,0.3922,31.19,0.0
75,35.13,0.0,0.0,0.0,35.13,0.3661,0.0,0.0
76,35.13,0.0,0.0,0.0,3.94,0.1341,31.19,0.0
77,35.13,0.0,0.0,0.0,3.94,0.1081,31.19,0.0
78,35.13,0.0,0.0,0.0,3.94,0.082,31.19,0.0
79,37.08,0.0,0.0,0.0,5.89,0.056,31.19,0.0
80,38.96,0.01,5.18,0.0,2.58,0.0171,31.19,0.0
81,40.68,0.22,43.06,0.0,0.0,0.0,0.0,2.6
82,42.2,0.75,71.79,0.0,0.0,0.0,0.0,30.34
83,43.44,1.77,87.63,14.77,0.0,0.0,0.0,31.19
84,44.37,1.77,95.91,50.0,0.0,0.0881,0.0,3.31
85,44.94,1.37,93.13,49.56,0.0,0.3861,0.0,0.0
86,45.13,1.03,83.85,31.41,0.0,0.6815,0.0,8.34
87,44.94,0.75,66.21,22.02,0.0,0.8687,0.0,0.0
88,44.37,0.07,38.12,0.0,0.0,1.0,6.18,0.0
89,43.44,0.0,5.03,0.0,38.42,1.0,0.0,0.0
90,42.2,0.03,0.0,0.0,42.17,0.7463,0.0,0.0
91,40.68,0.07,0.0,0.0,10.79,0.4677,29.83,0.0
92,38.96,0.07,0.0,0.0,7.7,0.3965,31.19,0.0
93,37.08,0.03,0.0,0.0,5.87,0.3456,31.19,0.0
94,35.13,0.01,0.0,0.0,3.93,0.3069,31.19,0.0
95,35.13,0.01,0.0,0.0,3.93,0.2809,31.19,0.0
96,35.17,0.0,0.0,0.0,3.98,0.2549,31.19,0.0
97,35.17,0.0,0.0,0.0,3.99,0.2286,31.19,0.0
98,35.17,0.0,0.0,0.0,3.99,0.2022,31.19,0.0
99,35.17,0.0,0.0,0.0,3.99,0.1759,31.19,0.0
100,35.17,0.0,0.0,0.0,3.99,0.1496,31.19,0.0
101,35.17,0.0,0.0,0.0,3.99,0.1233,31.19,0.0
102,35.17,0.0,0.0,0.0,3.99,0.097,31.19,0.0
103,37.12,0.0,0.0,0.0,5.94,0.0706,31.19,0.0
104,39.0,0.0,3.06,0.0,4.76,0.0314,31.19,0.0
105,40.73,0.0,34.62,0.0,0.0,0.0,6.11,0.0
106,42.24,0.0,61.56,19.31,0.0,0.0,0.0,0.0
107,43.49,0.0,78.98,15.4,0.0,0.1151,0.0,20.09
108,44.41,0.03,87.45,43.07,0.0,0.2069,0.0,0.0
109,44.98,0.0,86.85,41.87,0.0,0.4637,0.0,0.0
110,45.17,0.0,77.68,32.51,0.0,0.7132,0.0,0.0
111,44.98,0.0,60.58,15.6,0.0,0.907,0.0,0.0
112,44.41,0.0,34.47,0.0,9.94,1.0,0.0,0.0
113,43.49,0.0,4.0,0.0,8.3,0.9343,31.19,0.0
114,42.24,0.0,0.0,0.0,42.24,0.8795,0.0,0.0
115,40.73,0.0,0.0,0.0,9.54,0.6005,31.19,0.0
116,39.0,0.0,0.0,0.0,27.51,0.5375,11.49,0.0
117,37.12,0.0,0.0,0.0,5.94,0.3558,31.19,0.0
118,35.17,0.0,0.0,0.0,3.99,0.3166,31.19,0.0
119,35.17,0.0,0.0,0.0,3.99,0.2903,31.19,0.0
