Hour,Load,P_WT,P_PV,P_ST_Charge,P_ST_Discharge,SOC,P_Grid_Buy,P_Grid_Sell
0,35.0,0.0,0.0,0.0,35.0,0.5,0.0,0.0
1,35.0,0.0,0.0,0.0,35.0,0.4237,0.0,0.0
2,35.0,29.42,0.0,0.0,5.58,0.3474,0.0,0.0
3,35.0,33.62,0.0,0.0,1.38,0.3352,0.0,0.0
4,35.0,0.0,0.0,0.0,35.0,0.3322,0.0,0.0
5,35.0,20.68,0.0,0.0,14.32,0.2559,0.0,0.0
6,35.0,29.8,0.0,0.0,5.2,0.2246,0.0,0.0
7,36.95,23.52,13.43,0.0,0.0,0.2133,0.0,0.0
8,38.83,14.85,23.98,0.0,0.0,0.2133,0.0,0.0
9,40.56,19.57,20.98,0.0,0.0,0.2133,0.0,0.0
10,42.07,12.74,29.33,0.0,0.0,0.2133,0.0,0.0
11,43.31,12.14,31.18,0.0,0.0,0.2133,0.0,0.0
12,44.24,16.09,78.15,50.0,0.0,0.2133,0.0,0.0
13,44.81,3.64,56.84,15.67,0.0,0.3117,0.0,0.0
14,45.0,5.33,82.21,42.55,0.0,0.3426,0.0,0.0
15,44.81,13.09,63.75,32.03,0.0,0.4263,0.0,0.0
16,44.24,11.66,47.85,15.27,0.0,0.4893,0.0,0.0
17,43.31,20.86,22.45,0.0,0.0,0.5194,0.0,0.0
18,42.07,15.21,0.0,0.0,26.86,0.5194,0.0,0.0
19,40.56,13.77,0.0,0.0,26.79,0.4608,0.0,0.0
20,38.83,32.07,0.0,0.0,6.76,0.4024,0.0,0.0
21,36.95,23.36,0.0,0.0,13.59,0.3877,0.0,0.0
22,35.0,26.01,0.0,0.0,8.99,0.358,0.0,0.0
23,35.0,17.84,0.0,0.0,17.16,0.3384,0.0,0.0
24,35.04,23.21,0.0,0.0,11.83,0.301,0.0,0.0
25,35.04,26.85,0.0,0.0,8.19,0.2752,0.0,0.0
26,35.04,18.86,0.0,0.0,16.18,0.2574,0.0,0.0
27,35.04,26.89,0.0,0.0,8.15,0.2221,0.0,0.0
28,35.04,19.95,0.0,0.0,15.1,0.2043,0.0,0.0
29,35.04,20.34,0.0,0.0,14.7,0.1714,0.0,0.0
30,35.04,17.01,0.0,0.0,18.04,0.1393,0.0,0.0
31,36.99,29.89,7.11,0.0,0.0,0.1,0.0,0.0
32,38.87,17.52,21.35,0.0,0.0,0.1,0.0,0.0
33,40.6,10.18,65.83,35.41,0.0,0.1,0.0,0.0
34,42.11,20.28,71.83,50.0,0.0,0.1697,0.0,0.0
35,43.36,7.7,35.65,0.0,0.0,0.2681,0.0,0.0
36,44.28,15.89,78.39,50.0,0.0,0.2681,0.0,0.0
37,44.85,3.37,41.48,0.0,0.0,0.3665,0.0,0.0
38,45.04,7.66,38.36,0.98,0.0,0.3665,0.0,0.0
39,44.85,17.54,65.76,38.45,0.0,0.3684,0.0,0.0
40,44.28,21.94,44.3,21.95,0.0,0.4441,0.0,0.0
41,43.36,20.02,23.33,0.0,0.0,0.4873,0.0,0.0
42,42.11,19.86,0.0,0.0,22.26,0.4873,0.0,0.0
43,40.6,20.29,0.0,0.0,20.31,0.4388,0.0,0.0
44,38.87,14.79,0.0,0.0,24.08,0.3945,0.0,0.0
45,36.99,20.46,0.0,0.0,16.53,0.342,0.0,0.0
46,35.04,22.91,0.0,0.0,12.13,0.3059,0.0,0.0
47,35.04,32.41,0.0,0.0,2.64,0.2795,0.0,0.0
48,35.09,28.42,0.0,0.0,6.67,0.2737,0.0,0.0
49,35.09,15.86,0.0,0.0,19.23,0.2592,0.0,0.0
50,35.09,27.52,0.0,0.0,7.57,0.2173,0.0,0.0
51,35.09,22.42,0.0,0.0,12.66,0.2007,0.0,0.0
